code,product_name,categories,nutrition_grade_fr,energy_100g,sugars_100g,fat_100g,comment
3017620422003,Hazelnut spread,spreads,d,2252,56.3,30.9,complete row
3017620422003,Hazelnut spread duplicate,spreads,d,2252,56.3,30.9,duplicate barcode
3274080005003,Spring water,waters,a,0,0,0,complete row
5449000000996,Cola,beverages,e,180,10.6,0,complete row
3560070977066,Plain yogurt,dairy,b,250,4.5,3.2,complete row
7622210449283,Chocolate biscuits,snacks,e,2050,34.0,24.0,complete row
invalid,Invalid barcode product,snacks,c,900,12,8,invalid barcode
12345678,Incomplete cereal,cereals,b,,8.2,2.1,missing energy
87654321,Incomplete soup,soups,c,220,,1.3,missing sugars
11223344,Unknown nutrition grade,prepared meals,,630,3.5,6.8,missing grade
44332211,Implausible energy,prepared meals,d,99999,5,10,domain anomaly retained for audit
99887766,Missing category,,c,450,7,4,missing category
